t_index   term                df                  
1412      provid              3                   
1413      pseudo              1                   
1414      psychiatr           1                   
1415      psycholog           1                   
1416      public              4                   
1417      publicli            1                   
1418      publish             1                   
1419      pull                1                   
1420      pummel              1                   
1421      punch               2                   
1422      push                3                   
1423      put                 7                   
1424      putin               1                   
1425      pyeongchang         1                   
1426      quaker              1                   
1427      qualiti             1                   
1428      quarterback         1                   
1429      queen               2                   
1430      queensland          1                   
1431      quest               2                   
1432      question            3                   
1433      quickli             1                   
1434      quit                1                   
1435      race                4                   
1436      racecours           1                   
1437      racego              1                   
1438      racer               2                   
1439      raceriberi          1                   
1440      racist              1                   
1441      rafael              1                   
1442      rag                 1                   
1443      rainbow             1                   
1444      rale                1                   
1445      ran                 3                   
1446      rare                1                   
1447      reach               3                   
1448      react               2                   
1449      read                11                  
1450      real                3                   
1451      realis              1                   
1452      realiz              2                   
1453      rear                1                   
1454      receiv              6                   
1455      recent              3                   
1456      recep               1                   
1457      reclaim             1                   
1458      recogn              2                   
1459      recognit            1                   
1460      record              6                   
1461      recoveri            1                   
1462      recruit             1                   
1463      redistribut         1                   
1464      referendum          2                   
1465      refuge              1                   
1466      region              2                   
1467      regist              1                   
1468      regular             2                   
1469      regularli           1                   
1470      rehab               1                   
1471      reiter              2                   
1472      rel                 1                   
1473      relationship        1                   
1474      releas              3                   
1475      releg               1                   
1476      relief              1                   
1477      remain              5                   
1478      rene                1                   
1479      repeat              1                   
1480      repeatedli          1                   
1481      replac              1                   
1482      report              13                  
1483      reportedli          2                   
1484      repres              1                   
1485      request             1                   
1486      requir              2                   
1487      rescu               1                   
1488      resid               1                   
1489      resort              1                   
1490      respect             1                   
1491      respond             3                   
1492      respons             4                   
1493      restart             1                   
1494      restaur             2                   
1495      restrict            1                   
1496      result              1                   
1497      resum               2                   
1498      retain              1                   
1499      retir               1                   
1500      return              2                   
1501      retweet             1                   
1502      reuter              2                   
1503      revamp              1                   
1504      reveal              3                   
1505      revok               1                   
1506      riberi              1                   
1507      richest             1                   
1508      rid                 1                   
1509      ride                1                   
1510      rider               1                   
1511      right               1                   
1512      ring                1                   
1513      rio                 1                   
1514      riot                1                   
1515      rip                 1                   
1516      rise                2                   
1517      riyadh              1                   
1518      road                1                   
1519      rob                 1                   
1520      robert              1                   
1521      rock                1                   
1522      roger               1                   
1523      role                3                   
1524      roll                1                   
1525      romanian            2                   
1526      rooftop             1                   
1527      room                2                   
1528      rose                1                   
1529      rossiya             1                   
1530      rough               1                   
1531      round               2                   
1532      rout                1                   
1533      royal               1                   
1534      royalti             1                   
1535      rub                 1                   
1536      ruler               1                   
1537      run                 4                   
1538      runner              1                   
1539      rural               1                   
1540      russia              2                   
1541      russian             2                   
1542      ryde                1                   
1543      ryszard             1                   
1544      saban               1                   
1545      sad                 1                   
1546      sadli               1                   
1547      safer               1                   
1548      safeti              3                   
1549      sail                1                   
1550      salah               2                   
1551      salihamidz          1                   
1552      salt                1                   
1553      salvini             1                   
1554      sanction            1                   
1555      sand                1                   
1556      sandon              1                   
1557      santa               1                   
1558      sat                 1                   
1559      satisfact           1                   
1560      saturday            6                   
1561      savag               1                   
1562      save                1                   
1563      savor               1                   
1564      saxoni              1                   
1565      sb                  1                   
1566      scenario            1                   
1567      scene               1                   
1568      scenic              1                   
1569      schedul             2                   
1570      schismat            1                   
1571      school              1                   
1572      score               2                   
1573      scotland            1                   
1574      scout               1                   
1575      scream              1                   
1576      search              2                   
1577      season              6                   
1578      seat                1                   
1579      secretari           1                   
1580      secur               3                   
1581      seehof              1                   
1582      seeker              1                   
1583      seibert             1                   
1584      seiz                3                   
1585      select              1                   
1586      semit               1                   
1587      seneg               1                   
1588      senegales           1                   
1589      senghor             1                   
1590      senior              2                   
1591      sens                2                   
1592      sensit              1                   
1593      sentiment           1                   
1594      separ               2                   
1595      separatist          1                   
1596      septemb             1                   
1597      seri                3                   
1598      servic              2                   
1599      set                 8                   
1600      seventh             1                   
1601      sever               2                   
1602      shame               1                   
1603      share               3                   
1604      sheba               1                   
1605      shed                1                   
1606      shelter             1                   
1607      shield              1                   
1608      shiffrin            2                   
1609      ship                1                   
1610      shock               1                   
1611      shoot               1                   
1612      short               1                   
1613      shortli             1                   
1614      shot                1                   
1615      shoulder            1                   
1616      show                6                   
1617      side                3                   
1618      sidelin             1                   
1619      siena               1                   
1620      sight               1                   
1621      sign                3                   
1622      signal              1                   
1623      signific            1                   
1624      similar             1                   
1625      simmer              1                   
1626      simpli              1                   
1627      singl               1                   
1628      sire                1                   
1629      sit                 3                   
1630      site                1                   
1631      situat              3                   
1632      sixth               2                   
1633      ski                 3                   
1634      skier               2                   
1635      skij                1                   
1636      skill               1                   
1637      skin                1                   
1638      sky                 1                   
1639      skyscrap            1                   
1640      slag                1                   
1641      slalom              1                   
1642      slam                1                   
1643      slate               1                   
1644      sleeper             1                   
1645      slow                2                   
1646      snap                1                   
1647      snow                1                   
1648      snowstorm           1                   
1649      soar                1                   
1650      soccer              1                   
1651      sochi               1                   
1652      social              4                   
1653      sock                1                   
1654      soft                1                   
1655      soil                1                   
1656      son                 1                   
1657      sophomor            1                   
1658      soubri              1                   
1659      sought              1                   
1660      south               4                   
1661      sovereignti         1                   
1662      spain               1                   
1663      spaniard            1                   
1664      spanish             1                   
1665      spd                 1                   
1666      speaker             1                   
1667      special             4                   
1668      specif              1                   
1669      spectacl            1                   
1670      spectacular         1                   
1671      spectat             1                   
1672      spectrum            1                   
1673      speed               2                   
1674      spent               1                   
1675      spi                 2                   
1676      spiritu             1                   
1677      spoken              1                   
1678      spokesman           2                   
1679      spokesperson        1                   
1680      spokeswoman         2                   
1681      sport               10                  
1682      spot                1                   
1683      squeez              1                   
1684      st                  3                   
1685      stabl               1                   
1686      stadium             1                   
1687      stage               3                   
1688      stake               1                   
1689      stamp               1                   
1690      stanc               1                   
1691      stand               3                   
1692      standstil           1                   
1693      star                5                   
1694      start               5                   
1695      starter             1                   
1696      state               4                   
1697      statement           8                   
1698      station             1                   
1699      statist             1                   
1700      stauffer            1                   
1701      stay                1                   
1702      steak               1                   
1703      steffen             1                   
1704      stenmark            2                   
1705      step                1                   
1706      steve               1                   
1707      sting               1                   
1708      stinger             1                   
1709      stoffel             1                   
1710      stoke               1                   
1711      stolen              1                   
1712      stoll               1                   
1713      stone               1                   
1714      stood               3                   
1715      stop                5                   
1716      storch              1                   
1717      storey              1                   
1718      stori               2                   
1719      straight            1                   
1720      street              3                   
1721      stretch             1                   
1722      strictli            1                   
1723      striker             1                   
1724      string              2                   
1725      strip               1                   
1726      strong              3                   
1727      strongest           1                   
1728      strongli            1                   
1729      stuff               2                   
1730      stun                1                   
1731      subdu               1                   
1732      subject             1                   
1733      submit              1                   
1734      substanti           1                   
1735      success             4                   
1736      sudden              1                   
1737      suffer              3                   
1738      suggest             1                   
1739      summer              1                   
1740      sunday              5                   
1741      super               2                   
1742      superstar           2                   
1743      support             2                   
1744      suppos              2                   
1745      suppress            1                   
1746      suprem              1                   
1747      sure                1                   
1748      surf                1                   
1749      surgeri             1                   
1750      surpris             1                   
1751      surreal             2                   
1752      surround            2                   
1753      suski               1                   
1754      suspect             3                   
1755      suspens             1                   
1756      suspicion           1                   
1757      sussex              1                   
1758      sweden              2                   
1759      swedish             1                   
1760      swig                1                   
1761      swing               1                   
1762      swinney             1                   
1763      swiss               1                   
1764      switzerlandth       1                   
1765      swollen             1                   
1766      swoon               1                   
1767      symbol              2                   
1768      syracus             1                   
1769      tackl               1                   
1770      taint               1                   
1771      take                4                   
1772      talent              2                   
1773      talk                2                   
1774      talli               1                   
1775      target              4                   
1776      task                1                   
1777      tax                 2                   
1778      taylor              1                   
1779      tayyip              1                   
1780      team                5                   
1781      teammat             3                   
1782      tear                2                   
1783      teas                1                   
1784      techeetah           1                   
1785      technic             4                   
1786      techniqu            2                   
1787      technolog           1                   
1788      televis             1                   
1789      temperament         1                   
1790      temperatur          1                   
1791      temporarili         1                   
1792      tennesse            1                   
1793      tenni               1                   
1794      tension             2                   
1795      tentacl             1                   
1796      term                3                   
1797      test                2                   
1798      texan               2                   
1799      thembi              1                   
1800      theresa             1                   
1801      thing               4                   
1802      think               2                   
1803      thought             2                   
1804      thousand            1                   
1805      threat              2                   
1806      threaten            2                   
1807      threw               2                   
1808      thriller            1                   
1809      throng              1                   
1810      throw               1                   
1811      thunder             1                   
1812      thursday            2                   
1813      tide                1                   
1814      tie                 1                   
1815      time                16                  
1816      timeless            1                   
1817      timelin             1                   
1818      tirad               1                   
1819      titl                5                   
1820      titleth             1                   
1821      tkosuspici          1                   
1822      today               3                   
1823      todd                1                   
1824      told                11                  
1825      toler               1                   
1826      tomasz              1                   
1827      tomba               1                   
1828      tomo                1                   
1829      tomorrow            1                   
1830      tonight             1                   
1831      top                 1                   
1832      torn                1                   
1833      toronto             1                   
1834      torrid              1                   
1835      total               2                   
1836      touchdown           1                   
1837      tough               3                   
1838      toughest            1                   
1839      toulon              1                   
1840      tourist             1                   
1841      tournament          1                   
1842      town                2                   
1843      track               3                   
1844      tracksid            1                   
1845      tract               1                   
1846      trademark           1                   
1847      tradit              2                   
1848      tragedi             2                   
1849      train               4                   
1850      trainer             1                   
1851      traitor             1                   
1852      transfer            1                   
1853      transfigur          1                   
1854      transform           1                   
1855      transpir            1                   
1856      transport           1                   
1857      travel              2                   
1858      treasuri            1                   
1859      treat               2                   
1860      treatement          1                   
1861      treatment           1                   
1862      tree                2                   
1863      trevor              1                   
1864      triest              1                   
1865      trigger             1                   
1866      triomph             1                   
1867      trip                1                   
1868      triumph             1                   
1869      trophi              2                   
1870      trot                1                   
1871      true                2                   
1872      tuck                1                   
1873      tuesday             7                   
1874      tugun               1                   
1875      turf                1                   
1876      turkey              1                   
1877      turkish             2                   
1878      turn                5                   
1879      turner              1                   
1880      tv                  1                   
1881      tvn                 1                   
1882      tweet               5                   
1883      twin                1                   
1884      twitter             4                   
1885      type                1                   
1886      typic               3                   
1887      uber                1                   
1888      ufc                 1                   
1889      ugli                1                   
1890      uglier              1                   
1891      uk                  1                   
1892      ukrain              2                   
1893      ukrainian           1                   
1894      ultim               2                   
1895      unaccept            2                   
1896      unauthor            1                   
1897      unavail             1                   
1898      unbeliev            1                   
1899      unbook              1                   
1900      unconsci            1                   
1901      undergo             1                   
1902      undergon            1                   
1903      underw              1                   
1904      undisclos           1                   
1905      undul               1                   
1906      unfold              1                   
1907      ungefuk             1                   
1908      unintent            1                   
1909      union               2                   
1910      uniqu               1                   
1911      univers             1                   
1912      unlock              2                   
1913      unluckiest          1                   
1914      unpreced            1                   
1915      unpredict           1                   
1916      unsaddl             1                   
1917      unusu               3                   
1918      unveil              1                   
1919      updat               1                   
1920      uphil               1                   
1921      upmarket            1                   
1922      upset               1                   
1923      vacat               1                   
1924      valley              1                   
1925      valu                1                   
1926      valuabl             1                   
1927      vancouv             1                   
1928      vandal              1                   
1929      vandoorn            1                   
1930      var                 1                   
1931      vaunt               1                   
1932      ve                  5                   
1933      vehicl              2                   
1934      venturi             1                   
1935      venu                3                   
1936      vergn               1                   
1937      verifi              1                   
1938      version             1                   
1939      vest                2                   
1940      vesti               1                   
1941      vi                  1                   
1942      viana               1                   
1943      vicin               1                   
1944      viciou              1                   
1945      victim              1                   
1946      victori             6                   
1947      videlain            1                   
1948      video               5                   
1949      videoscameroon      1                   
1950      videoscolleg        1                   
1951      videosflemington    1                   
1952      videoshirsch        1                   
1953      videosmeydan        1                   
1954      videosth            1                   
1955      videoswor           1                   
1956      view                3                   
1957      villag              1                   
1958      violenc             2                   
1959      violent             2                   
1960      viral               1                   
1961      visa                1                   
1962      visibl              1                   
1963      vision              1                   
1964      visit               11                  
1965      visitor             1                   
1966      vissel              1                   
1967      vladimir            1                   
1968      vocal               1                   
1969      voic                1                   
1970      volunt              1                   
1971      von                 1                   
1972      vonn                2                   
1973      vote                6                   
1974      wage                1                   
1975      wait                1                   
1976      wake                2                   
1977      walk                2                   
1978      wall                1                   
1979      want                1                   
1980      warm                2                   
1981      warn                1                   
1982      warner              1                   
1983      wash                1                   
1984      washington          1                   
1985      wasn                2                   
1986      wast                1                   
1987      watch               4                   
1988      water               3                   
1989      watson              1                   
1990      wave                1                   
1991      way                 1                   
1992      wayn                1                   
1993      wealth              2                   
1994      wear                4                   
1995      websit              4                   
1996      wednesday           1                   
1997      week                6                   
1998      weekend             3                   
1999      weight              1                   
2000      westminst           1                   
2001      whisker             1                   
2002      white               4                   
2003      wide                3                   
2004      wife                1                   
2005      wild                1                   
2006      wimbledon           1                   
2007      win                 8                   
2008      wind                1                   
2009      windsor             1                   
2010      wing                1                   
2011      winner              5                   
2012      winter              3                   
2013      winteri             1                   
2014      wire                1                   
2015      wise                1                   
2016      wizard              1                   
2017      woman               1                   
2018      women               3                   
2019      won                 6                   
2020      wonder              1                   
2021      wood                1                   
2022      word                2                   
2023      wore                2                   
2024      work                6                   
2025      world               7                   
2026      wors                1                   
2027      write               1                   
2028      wrote               5                   
2029      xenophob            1                   
2030      yard                2                   
2031      yeah                2                   
2032      year                19                  
2033      yearli              1                   
2034      yearn               1                   
2035      yellow              2                   
2036      yesterday           1                   
2037      york                1                   
2038      young               3                   
2039      youtub              1                   
2040      zagreb              1                   
2041      zealand             1                   
2042      zit                 1                   
2043      zone                1                   
